Rank(total)|Country|Total(million US-$)|per Capita(US-$)|Date
131|Macedonia|30,130.0|14,539|2016 est.
132|Cyprus|29,260.0|24,662|2016 est.
133|Zimbabwe|28,330.0|1,989|2016 est.
134|Papua New Guinea|28,020.0|3,371|2016 est.
135|Namibia|27,040.0|11,633|2016 est.
136|Armenia|26,560.0|8,875|2016 est.
137|Mauritius|25,850.0|20,442|2016 est.
138|Tajikistan|25,810.0|2,984|2016 est.
139|Jamaica|25,390.0|9,294|2016 est.
140|Benin|24,310.0|2,234|2016 est.
141|Rwanda|21,970.0|1,905|2016 est.
142|Malawi|21,230.0|1,261|2016 est.
143|Palestinian Territories|21,220.0|4,654|2014 est.
144|Kyrgyzstan|21,010.0|3,455|2016 est.
145|South Sudan|20,880.0|1,666|2016 est.
146|Niger|20,270.0|1,020|2016 est.
147|Haiti|19,360.0|1,846|2016 est.
148|Moldova|18,540.0|5,431|2016 est.
149|Kosovo|18,490.0|10,536|2016 est.
150|Mauritania|16,710.0|4,425|2016 est.
151|Malta|16,320.0|37,375|2016 est.
152|Iceland|16,150.0|48,318|2016 est.
153|Guinea|16,080.0|1,451|2016 est.
154|Togo|11,610.0|1,625|2016 est.
155|New Caledonia|11,100.0|41,443|2014 est.
156|Swaziland|11,060.0|7,620|2016 est.
157|Sierra Leone|10,640.0|1,466|2016 est.
158|Montenegro|10,610.0|17,044|2016 est.
159|Eritrea|9,169.0|1,562|2016 est.
160|Bahamas|9,066.0|24,547|2016 est.
161|Suriname|8,547.0|15,164|2016 est.
162|Fiji|8,374.0|9,583|2016 est.
163|Burundi|7,892.0|780|2016 est.
164|French Polynesia|7,150.0|26,046|2012 est.
165|Monaco|6,790.0|222,623|2013 est.
166|Bhutan|6,432.0|8,355|2016 est.
167|Isle of Man|6,298.0|73,097|FY 2013 est.
168|Guyana|6,093.0|8,102|2016 est.
169|Lesotho|6,019.0|3,130|2016 est.
170|Jersey|5,771.0|60,283|FY 2013 est.
171|Maldives|5,407.0|12,800|2016 est.
172|Bermuda|5,198.0|74,827|2013 est.
173|East Timor|4,975.0|4,117|2016 est.
174|Guam|4,882.0|30,441|2013 est.
175|Barbados|4,804.0|16,984|2016 est.
176|Somalia|4,431.0|425|2014 est.
177|Liberia|3,881.0|903|2016 est.
178|Virgin Islands of the U.S.|3,792.0|36,205|2013 est.
179|Cape Verde|3,583.0|6,745|2016 est.
180|Guernsey|3,451.0|52,408|2014 est.
181|Gambia|3,387.0|1,690|2016 est.
182|Djibouti|3,345.0|3,370|2016 est.
183|Central African Republic|3,206.0|582|2016 est.
184|Liechtenstein|3,200.0|92,057|2009 est.
185|Andorra|3,163.0|37,176|2012 est.
186|Curacao|3,128.0|20,444|2012 est.
187|Belize|3,088.0|8,170|2016 est.
188|Guinea-Bissau|2,851.0|1,842|2016 est.
189|Seychelles|2,608.0|27,303|2016 est.
190|Aruba|2,516.0|24,412|2009 est.
191|Cayman Islands|2,507.0|45,653|2014 est.
192|Greenland|2,173.0|37,642|2014 est.
193|Antigua and Barbuda|2,171.0|23,868|2016 est.
194|Saint Lucia|2,083.0|11,836|2016 est.
195|San Marino|2,023.0|61,094|2016 est.
196|Gibraltar|1,850.0|63,550|2013 est.
197|Faroe Islands|1,831.0|36,659|2014 est.
198|Grenada|1,511.0|14,292|2016 est.
199|Saint Kitts and Nevis|1,427.0|30,633|2016 est.
200|Comoros|1,259.0|1,562|2016 est.
201|Saint Vincent and the Grenadines|1,241.0|11,247|2016 est.
202|Solomon Islands|1,198.0|1,874|2016 est.
203|Samoa|1,046.0|5,367|2016 est.
204|Western Sahara|906.5|2,369|2007 est.
205|Dominica|812.0|11,276|2016 est.
206|Vanuatu|723.0|2,565|2016 est.
207|American Samoa|711.0|12,994|2013 est.
208|São Tomé and Príncipe|694.0|3,510|2016 est.
209|Northern Mariana Islands|682.0|13,328|2013 est.
210|Turks and Caicos Islands|632.0|29,063|2007 est.
211|Saint Martin|561.5|...|2005 est.
212|Tonga|557.0|5,328|2016 est.
213|British Virgin Islands|500.0|20,049|2010 est.
214|Sint Maarten|365.8|9,032|2014 est.
215|Micronesia|314.0|2,999|2016 est.
216|Palau|276.0|15,567|2016 est.
217|Cook Islands|244.1|21,248|2010 est.
218|Saint Pierre and Miquelon|215.3|30,643|2006 est.
219|Kiribati|211.0|1,891|2016 est.
220|Marshall Islands|180.0|3,128|2016 est.
221|Anguilla|175.4|12,150|2009 est.
222|Falkland Islands|164.5|55,017|2007 est.
223|Nauru|150.8|13,359|2015 est.
224|Wallis and Futuna|60.0|3,744|2004 est.
225|Montserrat|43.8|4,638|2006 est.
226|Tuvalu|39.0|3,482|2016 est.
227|Saint Helena, Ascension and Tristan da Cunha|31.1|4,055|FY 2010 est.
228|Niue|10.0|4,667|2003 est.
229|Tokelau|1.5|...|1993 est.
